ip=  0 ,FFP(MV)= 79.70 ,Rc(GV)=  6.12 depth(g/cm2)=  1.9781E+02 g=    0.15
 Total flux (/cm2/s)=   0.99936984687715869     
    E(MeV/n)        u        v        w
  1.6144E+02  0.99767  0.06500 -0.02071
  8.4358E+02 -0.71178 -0.29531  0.63730
  6.7064E+02 -0.89029  0.19590  0.41111
  5.3320E+00 -0.96434 -0.20411 -0.16846
  4.4881E+01 -0.60560  0.42801  0.67086
  3.0959E+01 -0.13074 -0.95787 -0.25570
  2.6395E+01  0.03486  0.97616 -0.21425
  9.3762E+01  0.32345  0.60271  0.72947
  1.6201E+02  0.10083 -0.09339  0.99051
  4.0191E+01 -0.56282 -0.02479 -0.82621
  2.6289E+00 -0.02926  0.17015 -0.98498
  1.9871E+01  0.34230  0.44058 -0.82989
  1.3757E+02  0.22407 -0.93073  0.28903
  1.0281E+02 -0.13189  0.44115  0.88769
  2.5295E+00  0.61619 -0.70833  0.34435
  4.2770E+00 -0.78199  0.23497 -0.57731
  3.2394E+00 -0.38903 -0.82133 -0.41722
  8.5123E+02  0.43641  0.75738  0.48572
  6.5345E+01 -0.23026 -0.71037 -0.66510
  1.4359E+01  0.34853 -0.24402 -0.90498
  9.2796E+00 -0.05366 -0.90354 -0.42512
  1.7192E+00 -0.46923 -0.67542  0.56889
  1.1288E+00  0.33359 -0.41633 -0.84581
  2.1090E+01  0.37695  0.16759  0.91095
  3.3514E+01 -0.68679  0.01003 -0.72679
  2.3359E+01 -0.13735 -0.98618 -0.09263
  4.5019E+02  0.70230 -0.02633  0.71140
  8.4450E+01  0.64091 -0.53380 -0.55163
  1.9553E+00 -0.40093  0.89753 -0.18353
  7.5477E+00 -0.56994  0.53003  0.62788
  1.9834E+00 -0.82557 -0.48211  0.29328
  4.6441E+02 -0.98629  0.09265  0.13654
  6.9354E+01 -0.81136 -0.33274 -0.48061
  9.5684E+01  0.64522 -0.66031  0.38428
  1.0087E+02  0.50184 -0.85866 -0.10423
  3.8538E+01  0.83580  0.47395 -0.27716
  4.0356E+02 -0.15124 -0.06966  0.98604
  2.0962E+00  0.20662 -0.68721  0.69645
  3.3172E+00 -0.78007  0.06495  0.62232
  1.5399E+00 -0.82692 -0.46468 -0.31667
  1.9431E+00  0.59934  0.15592  0.78517
